                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 1.3911,                 1.5201,                  1.422,                0.77997,                 0.6839,                0.76988,                0.54175,                 1.2146,                 1.2003,                  1.367,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.3803,                   1.53,                 1.4122,                0.73772,                0.73135,                0.75839,                0.53613,                 1.2125,                 1.1864,                 1.3519,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.3688,                 1.5055,                 1.3905,                0.78964,                 0.7141,                0.76872,                0.53601,                 1.2291,                 1.2339,                  1.358,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.3126,                 1.4311,                 1.3605,                0.76441,                0.69971,                 0.7691,                0.54463,                 1.2132,                 1.1697,                 1.3437,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.3403,                 1.4325,                 1.3831,                0.82765,                0.73545,                0.78713,                0.55606,                 1.2079,                 1.1356,                 1.3294,              0.0088516,              0.0088516,              0.0088516
                    118,                  1.348,                 1.4705,                  1.377,                0.82023,                 0.6851,                0.75669,                0.52998,                 1.2513,                 1.1983,                 1.3743,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.3364,                 1.4439,                 1.3775,                0.82739,                0.70739,                0.79072,                0.57305,                 1.1609,                 1.1408,                 1.3031,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.3296,                  1.443,                 1.3828,                0.85647,                 0.6815,                0.76834,                0.53966,                 1.1907,                 1.2305,                 1.3262,              0.0088219,              0.0088219,              0.0088219
                    121,                  1.328,                 1.4202,                 1.3683,                0.77484,                0.64665,                0.75402,                0.52998,                 1.2278,                 1.2838,                 1.3554,               0.008812,               0.008812,               0.008812
                    122,                 1.3156,                  1.436,                 1.3601,                0.85863,                0.69845,                0.80855,                0.57048,                 1.1957,                 1.1095,                 1.3177,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.3367,                 1.4252,                 1.3802,                0.78559,                0.74871,                0.79054,                0.57203,                 1.1931,                 1.1782,                 1.3221,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.3397,                 1.4596,                 1.3636,                0.81177,                0.69263,                0.77241,                0.55797,                  1.245,                 1.1948,                 1.3295,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.3597,                   1.47,                  1.376,                0.80519,                0.70954,                 0.7782,                0.54926,                 1.2259,                 1.1933,                 1.3356,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.3192,                 1.3918,                 1.3683,                0.78606,                0.76885,                0.81168,                0.57921,                  1.172,                 1.1183,                 1.3038,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.2971,                 1.3791,                 1.3479,                0.79368,                0.73288,                0.80048,                0.58377,                 1.1976,                  1.172,                 1.3089,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.2831,                  1.373,                 1.3524,                0.80253,                0.71501,                0.80313,                0.57554,                 1.2315,                 1.2352,                 1.3383,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.3004,                 1.3998,                 1.3572,                0.85211,                0.74606,                0.83616,                0.59809,                 1.1652,                 1.0847,                 1.2864,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.2993,                 1.3546,                 1.3444,                0.84062,                0.73846,                0.83575,                0.59465,                 1.1485,                 1.1348,                 1.2772,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.2796,                 1.3397,                 1.3388,                0.82177,                0.72497,                0.81991,                0.58458,                  1.155,                 1.0956,                 1.2906,               0.008713,               0.008713,               0.008713
                    132,                 1.2531,                 1.3119,                 1.3081,                0.84999,                0.74007,                0.82862,                0.58098,                 1.2008,                 1.1312,                 1.3209,              0.0087031,              0.0087031,              0.0087031
